code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XLG5IU010,Introduction à l'architecture des ordinateurs,Niveau Licence,Licence,5,GOUALARD FREDERIC,TOTAL : 28h Répartition : CM : 10h TD : 10h CI : 0h TP : 8h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Introduction à l'architecture des ordinateurs 100%,Programme,(résultats d'apprentissage),"• Logique et Circuits combinatoires
• Circuits séquentiels
• Assembleur MIPS",Langue d’enseignement Français,Français,
XLG5IU020,Ingénierie des exigences,Niveau Licence,Licence,5,JEAN GERALDINE,TOTAL : 44h Répartition : CM : 13.33h TD : 22.67h CI : 0h TP : 8h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Ingénierie des exigences 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG5IU030,Comptabilité financière,Niveau Licence,Licence,5,SUAUDEAU CHRISTOPHE,TOTAL : 56h Répartition : CM : 0h TD : 56h CI : 0h TP : 0h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Comptabilité financière 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG5IU040,Optimisation & Automates finis,Niveau Licence,Licence,5,FERTIN GUILLAUME,TOTAL : 28h Répartition : CM : 8h TD : 16h CI : 0h TP : 4h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Optimisation & Automates finis 100%,Programme,(résultats d'apprentissage),"• La partie sur l'optimisation présentera plusieurs types de modélisation et de résolution de
problèmes liés à la gestion (des ressources, des coûts et profits, des tâches, etc.). Elle contiendra
deux grandes parties: l'une concerne la programmation linéaire, l'autre l'ordonnancement.",Langue d’enseignement Français,Français,
XLG5IU050,Structures Linéaires,Niveau Licence,Licence,5,MONCEAUX-CACHARD LAURA,TOTAL : 44h Répartition : CM : 0h TD : 32h CI : 0h TP : 12h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Structures Linéaires 100%,Programme,(résultats d'apprentissage),"- de présenter les structures linéraires abstraites et concrètes (liste / pile / file)
afin d'être capable de choisir la(ou les) structure(s) les plus adaptée(s) pour répondre à un
problème donné",Langue d’enseignement Français,Français,
XLG5IU060,BD & Web,Niveau Licence,Licence,5,DESMONTILS EMMANUEL,TOTAL : 40h Répartition : CM : 0h TD : 24h CI : 0h TP : 16h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,BD & Web 100%,Programme,(résultats d'apprentissage),"Système de Gestion de BD
- de définir et manipuler des données en SQL répondant à un besoin
- de réaliser un site web répondant à une demande client, en PHP",Langue d’enseignement Français,Français,
XLG5IU070,Professionalisation,Niveau Licence,Licence,5,SUAUDEAU CHRISTOPHE,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Professionnalisation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG5AU010,Anglais,Niveau Licence,Licence,5,Volume horaire total TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Anglais 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG5IU110,Gestion de Projet,Niveau Licence,Licence,5,MONCEAUX-CACHARD LAURA,TOTAL : 24h Répartition : CM : 8h TD : 12h CI : 0h TP : 4h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Gestion de Projet 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG5TU200,Stage libre,Niveau Licence,Licence,5,Volume horaire total TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"Environnement BGE / mineure Environnement,L3 SVT : Sciences de la Terre et de l'Univers STU,L3",Stage libre 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG6IE010,Réseaux,Niveau Licence,Licence,6,PIAMRAT KANDARAJ,TOTAL : 30h Répartition : CM : 0h TD : 19.33h CI : 0h TP : 10.67h EAD : 0h,(s),L3 Info : MIAGE - CLASSIQUE,Réseaux 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
